,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog
126,Japanese Chin,Toy,Companion,5.0,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",400.0,62.0,3.0
127,Welsh Terrier,Terrier,Terrier,9.0,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",1000.0,53.0,3.0
128,Schipperke,Non Sporting,Companion,7.0,"Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent",800.0,15.0,3.0
129,Italian Spinone,Sporting,Gun,33.0,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",1750.0,,3.0
130,Toy Fox Terrier,Toy,Terrier,2.0,"Alert, Friendly, Intelligent, Loyal, Playful, Spirited",500.0,,2.0
131,English Pointer,Sporting,Gun,25.0,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450.0,43.0,4.0
132,Pointer,Sporting,Gun,25.0,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450.0,43.0,4.0
133,Irish Terrier,Terrier,Terrier,12.0,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",700.0,53.0,5.0
134,,,,,,,,
135,Black Russian Terrier,Working,Guardian,51.0,"Brave, Confident, Energetic, Hardy, Lively, Stable",2150.0,,6.0
136,,,,,,,,
137,American Eskimo Dog,Non Sporting,Northern,8.0,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700.0,,4.0
138,Eskimo Dog,Non Sporting,Northern,8.0,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700.0,,4.0
139,German Spitz,Non Sporting,Northern,8.0,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700.0,,4.0
140,Spitz,Non Sporting,Northern,8.0,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700.0,,4.0
141,Jack Russell Terrier (Parson Russell Terrier),Terrier,Terrier,7.0,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",500.0,,3.0
142,Belgian Shepherd Dog Sheepdog,Herding,Herding,32.0,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300.0,15.0,6.0
143,Tibetan Spaniel,Non Sporting,Companion,6.0,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",900.0,46.0,4.0
144,Fox Terrier,Terrier,Terrier,8.0,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850.0,40.0,3.0
145,Smooth Fox Terrier,Terrier,Terrier,8.0,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850.0,40.0,3.0
146,Saluki,Hound,Sight,21.0,"Aloof, Intelligent, Quiet, Reserverd, Loyal",700.0,43.0,3.0
147,Boerboel,Working,Guardian,80.0,"Confident, Dominant, Intelligent, Obedient, Territorial",1750.0,,6.0
148,Bearded Collie,Herding,Herding,23.0,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300.0,34.0,4.0
